model,n,unstd_coef,unstd_ci_low,unstd_ci_high,unstd_p,std_coef,std_ci_low,std_ci_high,adj_r_squared,exposure_partial_r2,aicc
O-A,47,656.2215828921608,326.8904662700241,985.5526995142975,9.406856010104171e-05,0.5212506389896157,0.259655989478274,0.7828452885009574,0.25551783372812875,0.2717022286470824,853.228447528329
O-B,47,306.1424530064647,-71.25212861275719,683.5370346256866,0.11185224818534638,0.24317540509436747,-0.056597068028579,0.5429478782173139,0.3645586456926513,0.05594340878248386,847.1231172906871
O-C,47,94.09053446984012,-302.428387297874,490.60945623755424,0.6418722919828811,0.07473809532311428,-0.24022524439510923,0.38970143504133775,0.38618882397718124,0.003917290449588978,846.9259182933579
O-D,47,-9.410358391724003,-493.89882769158004,475.07811090813203,0.9696327138941258,-0.007474846077430833,-0.3923142521399928,0.3773645599851312,0.42202674211480706,4.037676585142867e-05,845.6290620791109
