exposure,predicted_mean,ci_low,ci_high
9.39917164596366,8052.075594972604,6492.528746142287,9611.622443802922
9.484051828070552,8051.276842038624,6528.441151471345,9574.112532605903
9.568932010177441,8050.478089104645,6564.229446763715,9536.726731445575
9.653812192284333,8049.679336170664,6599.8842358613965,9499.474436479932
9.738692374391224,8048.880583236683,6635.395189422141,9462.365977051226
9.823572556498116,8048.081830302703,6670.750931862135,9425.41272874327
9.908452738605005,8047.283077368722,6705.938912474065,9388.62724226338
9.993332920711897,8046.484324434741,6740.94525829365,9352.023390575832
10.078213102818788,8045.6855715007605,6775.754605908566,9315.616537092956
10.16309328492568,8044.88681856678,6810.3499089747265,9279.423728158832
10.247973467032569,8044.088065632799,6844.712217724383,9243.463913541216
10.33285364913946,8043.289312698818,6878.820426221918,9207.75819917572
10.417733831246352,8042.490559764838,6912.650982556976,9172.3301369727
10.502614013353242,8041.691806830857,6946.177556579624,9137.20605708209
10.587494195460133,8040.893053896876,6979.370659216692,9102.41544857706
10.672374377567024,8040.094300962895,7012.197206922176,9067.991395003615
10.757254559673914,8039.295548028915,7044.620024507318,9033.971071550512
10.842134741780805,8038.496795094934,7076.597279618226,9000.396310571643
10.927014923887697,8037.698042160953,7108.0818427100785,8967.314241611828
11.011895105994588,8036.8992892269725,7139.0205678428365,8934.778010611108
11.096775288101478,8036.100536292992,7169.353492471603,8902.84758011438
11.18165547020837,8035.301783359011,7199.012959293075,8871.590607424947
11.26653565231526,8034.50303042503,7227.922671026267,8841.083389823794
11.351415834422152,8033.70427749105,7255.996700889229,8811.41185409287
11.436296016529042,8032.905524557069,7283.138498831294,8782.672550282845
11.521176198635933,8032.10677162309,7309.239957712483,8754.973585533697
11.606056380742825,8031.308018689109,7334.180635733437,8728.435401644781
11.690936562849714,8030.509265755129,7357.827271715038,8703.19125979522
11.775816744956606,8029.710512821148,7380.033776458611,8679.387249183685
11.860696927063497,8028.911759887167,7400.641930863555,8657.181588910778
11.945577109170387,8028.113006953186,7419.4830586448315,8636.742955261541
12.030457291277278,8027.314254019206,7436.3809502360555,8618.247557802355
12.11533747338417,8026.515501085225,7451.156270092901,8601.87473207755
12.20021765549106,8025.716748151244,7463.632555630345,8587.800940672143
12.285097837597952,8024.9179952172635,7473.643695161993,8576.192295272534
12.369978019704842,8024.119242283283,7481.042463230098,8567.196021336467
12.454858201811733,8023.320489349302,7485.709345846955,8560.931632851649
12.539738383918625,8022.521736415321,7487.56060239266,8557.482870437982
12.624618566025514,8021.722983481341,7486.5544045854185,8556.891562377263
12.709498748132406,8020.92423054736,7482.694056378407,8559.154404716313
12.794378930239297,8020.125477613379,7476.027735879265,8564.223219347494
12.879259112346187,8019.3267246793985,7466.644804982217,8572.00864437658
12.964139294453078,8018.527971745418,7454.669322981429,8582.386620509405
13.04901947655997,8017.729218811437,7440.251802077672,8595.206635545203
13.13389965866686,8016.930465877456,7423.560364242023,8610.30056751289
13.21877984077375,8016.131712943476,7404.7723196092875,8627.491106277665
13.303660022880642,8015.332960009495,7384.066884771147,8646.599035247842
13.388540204987533,8014.534207075514,7361.6194137820075,8667.44900036902
13.473420387094425,8013.735454141535,7337.5972164401555,8689.873691842915
13.558300569201315,8012.9367012075545,7312.156831856178,8713.716570558932
13.643180751308206,8012.137948273574,7285.442514326088,8738.833382221059
13.728060933415097,8011.339195339593,7257.5856535383655,8765.09273714082
13.812941115521987,8010.540442405612,7228.704865406564,8792.37601940466
13.897821297628878,8009.741689471632,7198.906529423209,8820.576849520055
13.98270147973577,8008.942936537651,7168.285596293809,8849.600276781492
14.06758166184266,8008.14418360367,7136.926535557719,8879.361831649621
14.15246184394955,8007.345430669689,7104.904332063592,8909.786529275787
