model,variable,coef,se,ci_low,ci_high,p_value,se_type,coef_type,denominator
O-A,original_elderly_solo_household_pct,723.3652289906804,176.44728810638858,377.53489913239616,1069.1955588489643,4.1384529242567125e-05,HC3,unstandardized,legacy_2020_population
O-A,original_elderly_solo_household_pct,656.2215828921608,168.02916748463673,326.8904662700241,985.5526995142976,9.406856010104173e-05,HC3,unstandardized,primary_2023_population
O-B,original_elderly_solo_household_pct,310.1794600767132,202.66859783524785,-87.0436924776049,707.4026126310314,0.1258989067684127,HC3,unstandardized,legacy_2020_population
O-B,original_elderly_solo_household_pct,306.1424530064647,192.55179411257663,-71.25212861275719,683.5370346256866,0.1118522481853463,HC3,unstandardized,primary_2023_population
O-C,original_elderly_solo_household_pct,76.48662029802654,212.59134328205576,-340.1847559597939,493.157996555847,0.719009877818324,HC3,unstandardized,legacy_2020_population
O-C,original_elderly_solo_household_pct,94.09053446984012,202.30928981114184,-302.428387297874,490.60945623755424,0.6418722919828811,HC3,unstandardized,primary_2023_population
O-D,original_elderly_solo_household_pct,-31.778403941592728,257.69178859532286,-536.845028700135,473.2882208169496,0.9018541570231776,HC3,unstandardized,legacy_2020_population
O-D,original_elderly_solo_household_pct,-9.410358391724005,247.19253676161364,-493.89882769158,475.078110908132,0.9696327138941258,HC3,unstandardized,primary_2023_population
