model,n,r_squared,adj_r_squared,aic,aicc,bic,exposure,exposure_partial_r2
model0,47,0.2717022286470824,0.25551783372812875,852.6703079934452,853.228447528329,856.3706031968653,original_elderly_solo_household_pct,0.2717022286470824
model1,47,1.115263630335761e-07,-0.022222108217495595,867.571431279732,868.1295708146157,871.2717264831521,older_living_alone_pct,1.1152636304912034e-07
model2,47,0.37848943004984537,0.35023894959756563,847.218125553736,848.1705065061169,852.7685683588661,older_living_alone_pct,0.03466905609649432
model3,47,0.42396639264816993,0.38377800143757723,845.6467406485763,847.1101552827226,853.0473310554165,older_living_alone_pct,5.047171365084744e-06
model4,47,0.4729757374557849,0.42278295054681203,843.4675279731628,845.5675279731628,852.7182659817131,older_living_alone_pct,0.0013487035585495858
