analysis,n,exposure_coef,ci_low,ci_high,p_value
model4_reference,47,-25.730779441124042,-227.88439777951078,176.4228388972627,0.8029967166298337
beds_to_clinics_substitution,47,-42.14111638307162,-193.74129324982445,109.45906048368121,0.5858761330838398
add_log_population_density,47,-66.06848467575566,-363.66035825080553,231.52338889929422,0.6634663651637875
exclude_tokyo_osaka_kanagawa,44,-49.89789817866989,-347.4711703632986,247.67537400595882,0.7424186570003255
log_transform_outcome,47,-0.009120805304576235,-0.034793764975605115,0.016552154366452645,0.48623199614106516
population_weighted_wls,47,-10.78592131335671,-231.17797947968862,209.6061368529752,0.9235840701342998
