model,variable,coef,se,ci_low,ci_high,p_value,se_type,coef_type,denominator
O-D,general_hospital_beds_per_100k,5.684625170677517,3.3173892695415965,-0.8173383203236497,12.186588661678684,0.08660515430612087,HC3,unstandardized,legacy_2020_population
O-D,wbgt_days_ge28,46.118816848013786,45.04623380196385,-42.17017904300615,134.40781273903372,0.30592468826391117,HC3,unstandardized,legacy_2020_population
O-D,original_elderly_solo_household_pct,-31.778403941592728,240.06383250147127,-516.2468318212835,452.6900239380981,0.8953199992993934,classical_ols,unstandardized,legacy_2020_population
O-D,ageing_rate_pct,417.8941475681745,141.05939107327072,133.22477143249552,702.5635237038534,0.005005647692438283,classical_ols,unstandardized,legacy_2020_population
O-D,general_hospital_beds_per_100k,5.684625170677517,3.285522379407562,-0.9458274274054013,12.315077768760435,0.09093671274530277,classical_ols,unstandardized,legacy_2020_population
O-D,wbgt_days_ge28,46.118816848013786,24.19033239886385,-2.6992503512295443,94.93688404725711,0.06344277165285589,classical_ols,unstandardized,legacy_2020_population
O-D,original_elderly_solo_household_pct,-0.02331510337823048,,-0.3938711763258518,0.34724096956939077,0.9018541570231815,HC3,standardized,legacy_2020_population
O-D,ageing_rate_pct,0.5385211653982139,,0.03418006183241418,1.0428622689640137,0.03636753817040627,HC3,standardized,legacy_2020_population
O-D,general_hospital_beds_per_100k,0.32635710622789077,,-0.04692379198648211,0.6996380044422637,0.086605154306121,HC3,standardized,legacy_2020_population
O-D,wbgt_days_ge28,0.25100522695416017,,-0.2295144603616121,0.7315249142699325,0.3059246882639238,HC3,standardized,legacy_2020_population
