group,n,exposure_coef,ci_low,ci_high,p_value
high,24,-76.42893281058582,-619.1373611170122,466.2794954958406,0.7713752965959552
low,23,72.09671503107336,-392.64753624409406,536.8409663062407,0.7482431807461154
