group,n,exposure_coef,ci_low,ci_high,p_value
high,24,-192.8704457340043,-1060.3880319146301,674.6471404466216,0.6469839727116304
low,23,20.681692736646482,-973.9174478058593,1015.2808332791523,0.9656352308461628
