pref_code,residual,leverage,cooks_d,dfbeta_exposure
01,-2874.1428689328804,0.4311351341111112,0.6671174645059058,-0.4379668332867419
39,-3116.8408314455046,0.20396557022927037,0.18954521359807316,-0.4625560820717807
34,6087.0798434468325,0.05703371598115842,0.14406143916425157,0.4082512307047327
37,3721.3447912467964,0.07298276990839747,0.0712910421238323,-0.2596900610502529
30,2599.099943774536,0.12026985866344836,0.06363473345893919,0.43808300667564587
36,2916.4106067367575,0.06544842148286445,0.038634951997430285,-0.08495751651305088
33,1826.025821454663,0.13950720605467296,0.03808083018793673,-0.26186373924662437
02,1541.3932745412785,0.1778059962744138,0.037880449620310244,0.20682239075037942
47,-1155.358620424111,0.22609896464628623,0.03054581728036741,-0.00048390733870138877
44,-1621.7475131137144,0.13036602877550763,0.027482000132414714,0.12211757487185285
41,2373.5246995513517,0.06443636070158698,0.025139825497657194,-0.20181931703148684
46,1269.0114788383617,0.16707535023509124,0.02350836713701489,0.15667232124688135
15,-2002.034754951971,0.07387686435672841,0.02092688679271159,0.17888796148211566
27,1326.3072611262041,0.13862377637786805,0.019921896231472364,0.22834805877357425
16,-1729.9773191451977,0.08026276247100622,0.01721304858603456,0.19126920131337086
23,1485.5829798227442,0.10132537559163073,0.01678407872580543,0.02195378634940689
26,-1738.6913508925327,0.07568760923702676,0.016233891460915605,0.031544007960685676
42,-1887.821123670611,0.06539821201223024,0.016174272492532567,-0.14113001836685737
21,1789.0245500447254,0.06774283999334611,0.01512219932615314,-0.027143484779209734
11,-1324.4305495425624,0.10559081659810296,0.01403467763444071,-0.047775751672444196
12,-1583.479193665963,0.07059728200050702,0.012422106269374405,-0.021587006836753686
35,-960.8662050194744,0.14764996975970077,0.011374011199072427,-0.16944515056853593
14,-980.6958735242279,0.1312219455458292,0.010135563467059704,-0.085014474131502
22,-1104.748163586135,0.1017719090066695,0.009331933703033405,-0.015737251043377733
03,-1196.6052603433009,0.06439805816845894,0.0063853215398409,0.03158556528531081
43,962.6657550633627,0.08441815280388514,0.005656958032071919,-0.08484786967058577
32,1253.809197099874,0.04739596296224635,0.004977025107427857,-0.032879112098167004
40,-796.6702590477971,0.09198694789318951,0.004292295856027126,0.03052262762006492
08,-860.0947424303131,0.07939266774689976,0.004200631020762317,0.04677299773905582
05,-523.4885709400933,0.16118273309489423,0.0038052974843484208,-0.006988961199865991
18,-641.1082233562265,0.10477582989880954,0.00325724644888712,0.10849961712830077
17,-545.7633821718091,0.11390296583364938,0.0026192181204978443,0.08296595594693687
31,854.787137630301,0.052514175532359104,0.002590821422547613,-0.07003503038167394
29,-876.7875549662467,0.026297142223612468,0.0012925127406120005,-0.01225571541228236
19,-785.7452097886089,0.0316858873465268,0.0012646992123340499,-0.007268741227160796
07,-574.7836869907223,0.053929806234943575,0.0012066502870659726,0.04718715607004828
45,-407.98175468700174,0.08823049306499123,0.0010708298651954948,-0.045615512204805586
06,260.9841903727265,0.13085873943766377,0.0007152219101335328,-0.03752557781870904
10,-419.22589931409584,0.045860698460568575,0.0005366655502699604,0.003570145283446981
28,-304.5969503419001,0.048367487781054555,0.00030036996440616147,-0.025407806672885055
38,255.6722070348751,0.06227034751312099,0.00028059727219768534,0.021185462805532875
04,-169.08904946175244,0.07965706761227093,0.00016298450968642745,0.014044237229248207
13,-83.27058038321775,0.22183533075534492,0.00015397892892624274,-0.010374568034436604
25,-138.61827837501733,0.09346197152684854,0.00013246291203349223,0.013777610527847093
09,-159.8656670626524,0.05915921853477846,0.00010353590454424448,0.00301969346366222
24,103.36035357554283,0.08123903802489835,6.232439770972145e-05,0.0034878119110517466
20,-61.55465378534336,0.16130453753452179,5.266840865916291e-05,-5.331513440188887e-05
