outcome,pearson_r,pearson_p,r_squared,standardized_beta,std_ci_low,std_ci_high,std_p
primary_outcome_infusion,0.00033395563068780096,0.99822244849688,1.115263632680869e-07,0.00033395563068772116,-0.3271278389316348,0.3277957501930102,0.9984051641257888
comparison_outcome_outpatient,0.16902527247260307,0.25605248460753127,0.02856954273443771,0.16902527247260318,-0.1346517422313242,0.47270228717653057,0.27531371182287356
