pref_code,residual,leverage,cooks_d,dfbeta_exposure
01,-2817.9974834987497,0.4327218970265751,0.6481224147016437,-0.44477374761320976
39,-3058.6581767705957,0.19000818233258615,0.16444926490672102,-0.3659689440216242
34,6115.505650496674,0.054200644488195296,0.13754036546109372,0.3447084425876934
37,3690.312150484475,0.0686836461136015,0.06545519137740691,-0.20803003929821026
36,2935.262296625009,0.06434935394069521,0.03843877925671024,0.06227077587226046
02,1598.4514268103658,0.1653181897801448,0.03679905254081187,0.17571723697434533
30,2644.1545491235174,0.07259069138507901,0.035815474581249764,0.2394775967647145
33,1751.4122631257378,0.1341206207447535,0.03330554465983304,-0.23564925135613804
47,-1172.7313385127636,0.22770516685827757,0.03186857874872962,0.03334317697961112
41,2301.990872734488,0.0801572544877819,0.030470659934530152,-0.2646618314194406
46,1349.8578953302895,0.1800065132213263,0.029607553545029638,0.19825749008532298
44,-1655.8856505646472,0.1261022868077586,0.027480298711544362,0.10386990180313573
27,1420.079807468538,0.13493597092328946,0.02207068144683577,0.23765180611898698
15,-2039.3857074103498,0.06406671338307834,0.0184629208785121,0.13538454746857992
16,-1792.3938995189137,0.07722909573538744,0.017685571013203588,0.18882122935385257
23,1473.522272425983,0.1013019986135443,0.016529620337045945,-0.021347005022668817
26,-1730.504961685585,0.07494631237122662,0.0159191947671683,-0.014079245183769754
21,1765.7750322498596,0.07047307184565241,0.015435794978732684,-0.06094139943882437
42,-1858.5212738207601,0.05739682949421682,0.013543290420668817,-0.09755301786938876
11,-1310.3467080901119,0.10395131659229855,0.013492680398891359,-0.034278592194926086
12,-1570.6452285998548,0.0711993793970881,0.01235794961516414,-0.03129867023782085
14,-927.3969453607597,0.1338559438651442,0.009314246587716514,-0.08606295503012187
22,-1099.0701725666768,0.10151925379114808,0.009220207986270915,-0.011497041889450778
35,-866.8172365850005,0.14219923543551743,0.008813298667280445,-0.14630918947506102
03,-1200.6191831590031,0.06265172077764589,0.006238793259803852,0.011986051138546868
43,900.3454139663536,0.0913757005840609,0.005445519863009807,-0.09183583658936063
18,-751.0873210633144,0.11895859522414472,0.005247386558531333,0.14068971256188426
32,1231.6438780667813,0.048812864432102705,0.004967429017254804,-0.04194301802802407
40,-809.0205221567767,0.08948565645969192,0.004288031123355186,0.019203810430138454
08,-880.6452013177704,0.07499173399146455,0.004125562030853477,0.03296010366308129
17,-636.3015092295127,0.11633743632945466,0.003661267749367711,0.09901560807899673
05,-489.19190166932094,0.16763037685628912,0.00351429165620764,-0.026542484888737113
31,795.4192273956578,0.058485627048227504,0.0025336488211441686,-0.0746502477617435
29,-881.0581031020274,0.025705529980143745,0.0012758928213599595,0.0027450616449774933
19,-790.4274568646415,0.031479733899536025,0.0012726139223081503,0.003556408008925662
07,-611.1240016544634,0.045415201231245504,0.0011297696489322446,0.03794205012902469
45,-345.7957251510652,0.08421455672641884,0.0007287825115794779,-0.036239671753424275
10,-438.1137010574521,0.04777891735923814,0.0006138940108992433,0.011596138221221646
38,322.0113920385211,0.07361423751525353,0.0005398580160549186,0.033720295850083536
25,-222.128802172826,0.11523248161179474,0.0004408444022453367,0.030318335898512305
06,207.95259517710838,0.10447939859891359,0.0003419536140040862,-0.02053056131116487
04,-207.57365465943985,0.0727552517922424,0.00022129879773159132,0.013811174564898483
28,-256.42171863689873,0.04576492328573268,0.00020058137577816563,-0.019995220634130742
09,-173.1411219258216,0.05941398214412953,0.00012219433894803511,0.0036433592369635157
24,119.21240862728246,0.08015551326715453,8.17158895691642e-05,0.0032823223636766377
20,-72.84317564343564,0.1619725312873861,7.427824092869932e-05,0.0012244401022409733
13,42.938750300890206,0.29424846096335544,6.611018011781896e-05,0.010688727849838313
